,test_id,kcid,lmc_prior_code,lengthscale_prior_code,kernel_structure,n_kernels,active_dims,additive,independent_outputs
0,0,0,2,1,"['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)', 'SE_7^(1) + SE_8^(1) + SE_9^(1) + SE_10^(1) + SE_11^(1) + SE_12^(1)', 'SE_13^(2) + SE_14^(2) + SE_15^(2) + SE_16^(2) + SE_17^(2) + SE_18^(2)', 'SE_19^(3) + SE_20^(3) + SE_21^(3) + SE_22^(3) + SE_23^(3) + SE_24^(3)']",6,,True,False
0,3,0,0,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],6,,False,False
0,0,0,2,1,"['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)', 'SE_7^(1) + SE_8^(1) + SE_9^(1) + SE_10^(1) + SE_11^(1) + SE_12^(1)', 'SE_13^(2) + SE_14^(2) + SE_15^(2) + SE_16^(2) + SE_17^(2) + SE_18^(2)', 'SE_19^(3) + SE_20^(3) + SE_21^(3) + SE_22^(3) + SE_23^(3) + SE_24^(3)']",6,,True,False
0,3,0,0,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],6,,False,False
0,0,0,2,1,"['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)', 'SE_7^(1) + SE_8^(1) + SE_9^(1) + SE_10^(1) + SE_11^(1) + SE_12^(1)', 'SE_13^(2) + SE_14^(2) + SE_15^(2) + SE_16^(2) + SE_17^(2) + SE_18^(2)', 'SE_19^(3) + SE_20^(3) + SE_21^(3) + SE_22^(3) + SE_23^(3) + SE_24^(3)']",6,,True,False
0,3,0,0,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],6,,False,False
0,0,0,2,1,"['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)', 'SE_7^(1) + SE_8^(1) + SE_9^(1) + SE_10^(1) + SE_11^(1) + SE_12^(1)', 'SE_13^(2) + SE_14^(2) + SE_15^(2) + SE_16^(2) + SE_17^(2) + SE_18^(2)', 'SE_19^(3) + SE_20^(3) + SE_21^(3) + SE_22^(3) + SE_23^(3) + SE_24^(3)']",6,,True,False
0,3,0,0,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],6,,False,False
0,0,0,2,1,"['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)', 'SE_7^(1) + SE_8^(1) + SE_9^(1) + SE_10^(1) + SE_11^(1) + SE_12^(1)', 'SE_13^(2) + SE_14^(2) + SE_15^(2) + SE_16^(2) + SE_17^(2) + SE_18^(2)', 'SE_19^(3) + SE_20^(3) + SE_21^(3) + SE_22^(3) + SE_23^(3) + SE_24^(3)']",6,,True,False
0,3,0,0,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],6,,False,False
0,0,0,2,1,"['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)', 'SE_7^(1) + SE_8^(1) + SE_9^(1) + SE_10^(1) + SE_11^(1) + SE_12^(1)', 'SE_13^(2) + SE_14^(2) + SE_15^(2) + SE_16^(2) + SE_17^(2) + SE_18^(2)', 'SE_19^(3) + SE_20^(3) + SE_21^(3) + SE_22^(3) + SE_23^(3) + SE_24^(3)']",6,,True,False
0,3,0,0,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],6,,False,False
0,0,0,2,1,"['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)', 'SE_7^(1) + SE_8^(1) + SE_9^(1) + SE_10^(1) + SE_11^(1) + SE_12^(1)', 'SE_13^(2) + SE_14^(2) + SE_15^(2) + SE_16^(2) + SE_17^(2) + SE_18^(2)', 'SE_19^(3) + SE_20^(3) + SE_21^(3) + SE_22^(3) + SE_23^(3) + SE_24^(3)']",6,,True,False
0,3,0,0,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],6,,False,False
0,0,0,2,1,"['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)', 'SE_7^(1) + SE_8^(1) + SE_9^(1) + SE_10^(1) + SE_11^(1) + SE_12^(1)', 'SE_13^(2) + SE_14^(2) + SE_15^(2) + SE_16^(2) + SE_17^(2) + SE_18^(2)', 'SE_19^(3) + SE_20^(3) + SE_21^(3) + SE_22^(3) + SE_23^(3) + SE_24^(3)']",6,,True,False
0,3,0,0,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],6,,False,False
0,0,0,2,1,"['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)', 'SE_7^(1) + SE_8^(1) + SE_9^(1) + SE_10^(1) + SE_11^(1) + SE_12^(1)', 'SE_13^(2) + SE_14^(2) + SE_15^(2) + SE_16^(2) + SE_17^(2) + SE_18^(2)', 'SE_19^(3) + SE_20^(3) + SE_21^(3) + SE_22^(3) + SE_23^(3) + SE_24^(3)']",6,,True,False
0,3,0,0,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],6,,False,False
0,0,0,2,1,"['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)', 'SE_7^(1) + SE_8^(1) + SE_9^(1) + SE_10^(1) + SE_11^(1) + SE_12^(1)', 'SE_13^(2) + SE_14^(2) + SE_15^(2) + SE_16^(2) + SE_17^(2) + SE_18^(2)', 'SE_19^(3) + SE_20^(3) + SE_21^(3) + SE_22^(3) + SE_23^(3) + SE_24^(3)']",6,,True,False
0,3,0,0,1,['SE_1^(0) + SE_2^(0) + SE_3^(0) + SE_4^(0) + SE_5^(0) + SE_6^(0)'],6,,False,False
