timestep,parent,callsign,id,side,x,y,z,psi,theta,phi,v,track_range,track_ata,track_aa,track_azimuth,track_elevation,start_time,total_time,sensor_mode,radar_track,rwr_track,detected,spiked,in_range,in_fov
00.00,viper,cobra,200,2,20000.000,01.994,5000.000,180.000,00.000,00.000,300.000,50000.000,00.003,179.997,-0.003,90.000,00.000,00.100,SensorMode.SEARCH,1,0,0,0,1,1
00.00,cobra,viper,100,1,-30000.000,04.410,5000.000,00.000,00.000,00.000,300.000,50000.000,00.003,179.997,-0.003,90.000,00.000,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.10,viper,cobra,200,2,19970.000,01.994,5000.000,180.000,00.000,00.000,300.000,49940.000,00.003,179.997,-0.003,90.000,00.100,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.10,cobra,viper,100,1,-29970.000,04.410,5000.000,00.000,00.000,00.000,300.000,49940.000,00.003,179.997,-0.003,90.000,00.100,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.20,viper,cobra,200,2,19940.000,01.994,5000.000,180.000,00.000,00.000,300.000,49880.000,00.003,179.997,-0.003,90.000,00.200,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.20,cobra,viper,100,1,-29940.000,04.410,5000.000,00.000,00.000,00.000,300.000,49880.000,00.003,179.997,-0.003,90.000,00.200,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.30,viper,cobra,200,2,19910.000,01.994,5000.000,180.000,00.000,00.000,300.000,49820.000,00.003,179.997,-0.003,90.000,00.300,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.30,cobra,viper,100,1,-29910.000,04.410,5000.000,00.000,00.000,00.000,300.000,49820.000,00.003,179.997,-0.003,90.000,00.300,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.40,viper,cobra,200,2,19880.000,01.994,5000.000,180.000,00.000,00.000,300.000,49760.000,00.003,179.997,-0.003,90.000,00.400,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.40,cobra,viper,100,1,-29880.000,04.410,5000.000,00.000,00.000,00.000,300.000,49760.000,00.003,179.997,-0.003,90.000,00.400,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.50,viper,cobra,200,2,19850.000,01.994,5000.000,180.000,00.000,00.000,300.000,49700.000,00.003,179.997,-0.003,90.000,00.500,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.50,cobra,viper,100,1,-29850.000,04.410,5000.000,00.000,00.000,00.000,300.000,49700.000,00.003,179.997,-0.003,90.000,00.500,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.60,viper,cobra,200,2,19820.000,01.994,5000.000,180.000,00.000,00.000,300.000,49640.000,00.003,179.997,-0.003,90.000,00.600,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.60,cobra,viper,100,1,-29820.000,04.410,5000.000,00.000,00.000,00.000,300.000,49640.000,00.003,179.997,-0.003,90.000,00.600,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.70,viper,cobra,200,2,19790.000,01.994,5000.000,180.000,00.000,00.000,300.000,49580.000,00.003,179.997,-0.003,90.000,00.700,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.70,cobra,viper,100,1,-29790.000,04.410,5000.000,00.000,00.000,00.000,300.000,49580.000,00.003,179.997,-0.003,90.000,00.700,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.80,viper,cobra,200,2,19760.000,01.994,5000.000,180.000,00.000,00.000,300.000,49520.000,00.003,179.997,-0.003,90.000,00.800,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.80,cobra,viper,100,1,-29760.000,04.410,5000.000,00.000,00.000,00.000,300.000,49520.000,00.003,179.997,-0.003,90.000,00.800,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.90,viper,cobra,200,2,19730.000,01.994,5000.000,180.000,00.000,00.000,300.000,49460.000,00.003,179.997,-0.003,90.000,00.900,00.100,SensorMode.SEARCH,1,1,1,0,1,1
00.90,cobra,viper,100,1,-29730.000,04.410,5000.000,00.000,00.000,00.000,300.000,49460.000,00.003,179.997,-0.003,90.000,00.900,00.100,SensorMode.SEARCH,1,1,1,0,1,1
01.00,viper,cobra,200,2,19700.000,01.994,5000.000,180.000,00.000,00.000,300.000,49400.000,00.003,179.997,-0.003,90.000,01.000,00.100,SensorMode.SEARCH,1,1,1,0,1,1
01.00,cobra,viper,100,1,-29700.000,04.410,5000.000,00.000,00.000,00.000,300.000,49400.000,00.003,179.997,-0.003,90.000,01.000,00.100,SensorMode.SEARCH,1,1,1,0,1,1
01.10,viper,cobra,200,2,19670.000,01.994,5000.000,180.000,00.000,00.000,300.000,49340.000,00.003,179.997,-0.003,90.000,01.100,00.100,SensorMode.SEARCH,1,1,1,0,1,1
01.10,cobra,viper,100,1,-29670.000,04.410,5000.000,00.000,00.000,00.000,300.000,49340.000,00.003,179.997,-0.003,90.000,01.100,00.100,SensorMode.SEARCH,1,1,1,0,1,1
01.20,viper,cobra,200,2,19640.000,01.994,5000.000,180.000,00.000,00.000,300.000,49280.000,00.003,179.997,-0.003,90.000,01.200,00.100,SensorMode.SEARCH,1,1,1,0,1,1
01.20,cobra,viper,100,1,-29640.000,04.410,5000.000,00.000,00.000,00.000,300.000,49280.000,00.003,179.997,-0.003,90.000,01.200,00.100,SensorMode.SEARCH,1,1,1,0,1,1
01.30,viper,cobra,200,2,19610.000,01.994,5000.000,180.000,00.000,00.000,300.000,49220.000,00.003,179.997,-0.003,90.000,01.300,00.100,SensorMode.SEARCH,1,1,1,0,1,1
01.30,cobra,viper,100,1,-29610.000,04.410,5000.000,00.000,00.000,00.000,300.000,49220.000,00.003,179.997,-0.003,90.000,01.300,00.100,SensorMode.STT,1,1,1,0,1,1
01.40,viper,cobra,200,2,19580.000,01.994,5000.000,180.000,00.000,00.000,300.000,49160.000,00.003,179.997,-0.003,90.000,01.400,00.100,SensorMode.STT,1,1,1,1,1,1
