,test_id,kcid,lmc_prior_code,lengthscale_prior_code,test_data,elpd_loo,p_loo,se,warning,n_data_points,n_samples,scale,k_count_good,k_count_ok,k_count_bad,k_count_verybad,elpd_loo_y0,elpd_loo_y1,elpd_loo_y2,elpd_loo_y3,elpd_loo_y4
0,0,0,2,1,1,8822.1499480113,9.22506660693216,283.6986223755854,True,1960,300,log,1886,0,0,74,-277.59021,4581.40411,4579.85756,-29.75375,-31.76776
1,0,0,2,1,1,8843.185829521872,9.591012472763396,283.67091473714447,True,1960,300,log,1809,0,0,151,-272.70252,4583.62692,4586.07278,-26.81062,-27.00074
2,0,0,2,1,1,8833.965492230343,7.3531819523341255,283.19125646357236,True,1960,300,log,1805,1,0,154,-270.26378,4578.74109,4579.38172,-25.72421,-28.16934
3,0,0,2,1,1,8835.326302850146,7.866459701212079,283.30609489962575,True,1960,300,log,1705,0,0,255,-275.64078,4577.40088,4579.64779,-22.05649,-24.02509
4,0,0,2,1,1,8822.909303741777,8.245903472343343,283.5902976469186,True,1960,300,log,1835,0,0,125,-276.80015,4579.58107,4577.62319,-30.69696,-26.79784
5,0,0,2,1,1,8805.885745504545,8.85070743133474,283.7921922030532,True,1960,300,log,1894,0,0,66,-275.98977,4577.17762,4573.38432,-30.67716,-38.00927
6,0,0,2,1,1,8834.365734108032,9.018864896022933,283.2264211782813,True,1960,300,log,1710,2,1,247,-272.62422,4578.79208,4577.9778,-21.15191,-28.62801
7,0,0,2,1,1,8849.125641465918,10.549005118027708,283.05432659364357,True,1960,300,log,1800,0,0,160,-260.18104,4581.64576,4580.41028,-22.25466,-30.4947
8,0,0,2,1,1,8845.71158260134,11.173620652789396,282.8953222392661,True,1960,300,log,1746,4,0,210,-265.69665,4580.55224,4581.93928,-24.14548,-26.93781
9,0,0,2,1,1,8829.026576581567,8.576167582112248,283.6272400865601,True,1960,300,log,1818,0,0,142,-278.25798,4581.93461,4580.71615,-28.90887,-26.45735
10,0,0,2,1,1,8814.838091620753,8.644912940388167,282.8745707594575,True,1960,300,log,1852,0,0,108,-271.67219,4572.10918,4571.404,-27.17061,-29.83229
11,0,0,2,1,1,8836.63006584814,8.312342708735741,283.9351110556768,True,1960,300,log,1756,1,0,203,-275.59411,4582.90443,4582.2486,-23.54596,-29.38289
12,0,0,2,1,1,8840.784611873245,10.548194730121395,283.15771649174377,True,1960,300,log,1739,5,0,216,-271.62993,4581.16481,4581.99036,-24.08161,-26.65902
13,0,0,2,1,1,8823.194380548905,8.13570668529428,283.528098884353,True,1960,300,log,1882,0,0,78,-275.14643,4579.84542,4579.48405,-24.18826,-36.8004
14,0,0,2,1,1,8834.581189950575,12.977355792330854,283.2089516850994,True,1960,300,log,1753,1,0,206,-270.42883,4579.89679,4575.25169,-23.54278,-26.59568
15,0,0,2,1,1,,,,True,1960,300,log,1871,0,0,89,-271.05072,4580.10203,4579.09179,,-30.90291
16,0,0,2,1,1,8829.622439235605,9.349302681592235,283.7266260961442,True,1960,300,log,1811,1,0,148,-275.12041,4580.18257,4582.02811,-25.53497,-31.93285
17,0,0,2,1,1,8841.765413618301,9.568680523898365,283.4554760158218,True,1960,300,log,1743,0,0,217,-271.26895,4580.28027,4582.89744,-23.67609,-26.46726
18,0,0,2,1,1,8821.683840297297,8.876889606828627,283.7069513324168,True,1960,300,log,1905,0,0,55,-271.10594,4576.88969,4578.11858,-31.75989,-30.4586
19,0,0,2,1,1,8809.343437072837,10.010201399798461,283.67913130611703,True,1960,300,log,1821,0,0,139,-281.26015,4574.83091,4576.40599,-27.15926,-33.47406
20,0,0,2,1,1,8828.660940598194,9.92350132316642,283.624230812318,True,1960,300,log,1816,0,0,144,-274.84885,4578.80522,4579.88235,-23.79556,-31.38221
21,0,0,2,1,1,8834.679601794549,10.765684849779063,283.4447131643709,True,1960,300,log,1771,1,0,188,-276.10649,4579.33579,4581.02197,-25.31607,-24.2556
22,0,0,2,1,1,8826.45367229106,10.255746367678512,283.12983702797413,True,1960,300,log,1860,0,0,100,-269.68094,4575.92519,4579.83901,-29.45664,-30.17295
23,0,0,2,1,1,8812.252377138393,9.999656845895515,282.76198484522916,True,1960,300,log,1865,1,0,94,-273.57114,4575.16587,4570.25166,-26.98908,-32.60493
24,0,0,2,1,1,8817.17564209527,8.525837475013759,283.8005033160215,True,1960,300,log,1863,0,0,97,-278.49218,4580.90727,4578.09534,-32.20895,-31.12584
25,0,0,2,1,1,8824.48885478911,8.635239587960314,283.1060213219403,True,1960,300,log,1797,2,0,161,-272.56067,4577.108,4577.11086,-27.85301,-29.31632
26,0,0,2,1,1,8834.710112479463,8.96744858621787,283.4554222969417,True,1960,300,log,1728,4,0,228,-277.96417,4581.03146,4581.66608,-24.27939,-25.74388
27,0,0,2,1,1,8833.6187420577,7.95217774979028,283.84688251066376,True,1960,300,log,1808,0,0,152,-274.27778,4582.83101,4580.7154,-24.44716,-31.20273
28,0,0,2,1,1,,,,True,1960,300,log,1859,0,0,101,-270.30666,4579.73583,4573.50297,,-33.15919
29,0,0,2,1,1,8847.86813821123,8.885926251252386,283.2088478956734,True,1960,300,log,1774,1,0,185,-265.55578,4582.63229,4582.0939,-22.86563,-28.43665
